[08:14:55 AM || 19/06/2026] [ERROR] [UNCAUGHT_EXCEPTION] [eval]:5
console.log(JSON.stringify(global.__captured.HIDDEN_OWNER_IDS, null, 2));
                                             ^

TypeError: Cannot read properties of undefined (reading 'HIDDEN_OWNER_IDS')
    at [eval]:5:46
    at runScriptInThisContext (node:internal/vm:209:10)
    at node:internal/process/execution:446:12
    at [eval]-wrapper:6:24
    at runScriptInContext (node:internal/process/execution:444:60)
    at evalFunction (node:internal/process/execution:279:30)
    at evalTypeScript (node:internal/process/execution:291:3)
    at node:internal/main/eval_string:74:3
[04:08:31 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: (no body)
[04:08:57 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: .uid
[04:08:57 PM || 19/06/2026] [COMMAND] uid by - ⸙ ❰ 𝐙𝐀𝐈𝐍 ❱ ː » 𖤍 ️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️ ️ in 1576388534081379
[04:09:09 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61587169348945: .help all
[04:09:09 PM || 19/06/2026] [COMMAND] help by Mʀ Dɜvıɭ Sʌıɱ KʌAɓu in 1576388534081379
[04:09:10 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: iska browser outdated tha
[04:09:34 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61587169348945: .uidall
[04:09:34 PM || 19/06/2026] [COMMAND] uidall by Mʀ Dɜvıɭ Sʌıɱ KʌAɓu in 1576388534081379
[04:09:49 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: 🥹🤣
[04:09:51 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61587169348945: 😂
[04:09:55 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: .owner
[04:10:00 PM || 19/06/2026] [INFO] [HEARTBEAT] Connection active
[04:10:01 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61587169348945: Owner
[04:10:01 PM || 19/06/2026] [COMMAND] owner by Mʀ Dɜvıɭ Sʌıɱ KʌAɓu in 1576388534081379
[04:10:15 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: aa change nhi kra
[04:10:32 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61587169348945: (no body)
[04:10:32 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61587169348945: .ibb
[04:10:40 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61587169348945: .sib
